filename,size_mb,domain,confidence,is_book,title,authors_str,year,priority_score,duplicate_group,flags_str,sha256,pages
"Differential Geometry Manifolds,  Curves,  and Surfaces (Marcel Berger Bernard Gostiaux).pdf",34.9,topology_geometry,medium,True,"Differential Geometry Manifolds, Curves, and Surfaces (Marcel Berger Bernard Gostiaux)",,,35,,,4fa1f66c566a4a219abbe1103d6ab0fae4be206e90f6980fa0ae10c456389feb,487
Differential and Riemannian Manifolds (Serge Lang).pdf,23.2,topology_geometry,medium,True,Differential and Riemannian Manifolds (Serge Lang),,,35,,,240651747e19408af0faed5d34be59ea9061a6acb7b7f44973adc0ca286ff3ef,376
Dover books on physics and chemistry Richard D Mattuck-A guide to Feynman diagrams in the many-body problem-Dover Publications 1992-2.pdf,12.3,unclassified,unclassified,True,Dover books on physics and chemistry Richard D Mattuck-A guide to Feynman diagrams in the many-body problem-Dover Publications 1992-2,,1992,35,hash_dup_18,possible_duplicate,c826a688d8c0726d3895e5f64b6711406469201771ceee1879e717035de6d8c0,440
E. T. Copson Asymptotic Expansions (Cambridge Tracts in Mathematics).pdf,19.8,mathematics,low,True,E. T. Copson Asymptotic Expansions (Cambridge Tracts in Mathematics),,,35,,,23706093ea2209c2bacb4d0ef79ef9e142de7b4bad285840179e6848e22ee3aa,126
"Elena Kartashova - Nonlinear Resonance Analysis_ Theory, Computation, Applications-Cambridge University Press (2010).pdf",2.5,unclassified,unclassified,True,"Nonlinear Resonance Analysis: Theory, Computation, Applications",Elena Kartashova,2010,35,hash_dup_230,possible_duplicate,9b49f8cf669f17871f8dce040b7876589440c86973c884be6c0a7da5a08e472e,241
Elliptic Functions (Serge Lang).pdf,27.2,unclassified,unclassified,True,Elliptic Functions (Serge Lang),,,35,,,c9220d56b90e657308380ef6f882f8036fdf370a2f2c0992613d154e4af297ff,319
Ergebnisse der Mathematik und ihrer Grenzgebiete 31 Valerij V Kozlov auth-Symmetries Topology and Resonances in Hamiltonian Mechanics-Springer-Verlag Berlin Heidelberg 1996.pdf,10.4,topology_geometry,low,True,Ergebnisse der Mathematik und ihrer Grenzgebiete 31 Valerij V Kozlov auth-Symmetries Topology and Resonances in Hamiltonian Mechanics-Springer-Verlag Berlin Heidelberg 1996,,1996,35,hash_dup_21,possible_duplicate,ebcd206e0a983b46a35dc8c17b2b45ff9e84eb67eca23cf4220f2564db835e80,389
Evolutionary_Deep_Learning.pdf,55.5,deep_learning,low,True,Evolutionary_Deep_Learning,Micheal Lanham,,35,,,9666598b271f775a747771229bd32951e08e3208d838d5a20abb3a4e1e2d47e0,362
Evolutionary_Deep_Learning_2.pdf,55.6,deep_learning,low,True,Evolutionary_Deep_Learning_2,Micheal Lanham,,35,,,0a17cb0bc2389f10bc39a64c49b0f110d2df18bfb208ea4ba601fb265b8ebf9d,362
Ferdinand Verhulst (auth.)-Henri Poincaré_ Impatient Genius-Springer US (2012)-2.pdf,4.3,unclassified,unclassified,True,Ferdinand Verhulst (auth.)-Henri Poincaré: Impatient Genius-Springer US,4<8=8AB@0B>@,2012,35,,,62dae44388564a472350b13c6953af33b7d76d5e38d6bfcebe9525eaab9a9dda,265
"Filippo Menczer, Santo Fortunato, Clayton A. Davis - A First Course in Network Science-Cambridge University Press (2020).pdf",66.1,unclassified,unclassified,True,A First Course in Network Science,Filippo Menczer; Santo Fortunato; Clayton A. Davis,2020,35,hash_dup_238,possible_duplicate,00b127e41a68a5aa42222c1b4d956eae2773b44a4748ee465da97a681172c755,276
"Franck Laloe - Do We Really Understand Quantum Mechanics_ (2019, Cambridge University Press) - libgen.lc.pdf",5.2,physics,low,True,Do We Really Understand Quantum Mechanics?,,2019,35,hash_dup_240,possible_duplicate,c5b80baeeb8d26d6c891a8077da1dc10cf5cc526c92424cdc9c63d71e98832c2,550
Frank J. Fabozzi (editor)_ Steven V. Mann (editor) - The handbook of fixed income securities. (2021) 2.pdf,38.5,finance,low,True,"The Handbook of Fixed Income Securities, Ninth Edition",Frank J. Fabozzi,2021,35,hash_dup_241,possible_duplicate,ece05686d3cfbf45c2239ab0966bdfc0cf002b20d04c7f3964afd664a3f8b19f,1905
Functions of One Complex Variable I (John B. Conway).pdf,37.2,unclassified,unclassified,True,Functions of One Complex Variable I (John B. Conway),,,35,,,7b86ef1c0b87f1c2cc40fc17380cdfa29baa11bb0e0a8fceb976c9e199bb3fff,331
Functions of One Complex Variable II (John B. Conway).pdf,33.5,unclassified,unclassified,True,Functions of One Complex Variable II (John B. Conway),,,35,,,5a493f6580c80708b3cc1dea89cc168d4029307d3783e8b6c816f7dad4f4dd22,404
GARP - FRM Part 1 - Valuation and Risk Models (2023). 4 (2023).pdf,153.6,mathematics,low,True,FRM Part 1,GARP,2023,35,,,84a613c611f7e2ede7602ad7ff7924f9a5aa37ed4972d5018187fa2ecdb23604,239
Geoffrey K Vallis - Atmospheric and Oceanic Fluid Dynamics_ Fundamentals and Large-Scale Circulation-Cambridge University Press 2017.pdf,48.5,unclassified,unclassified,True,Atmospheric and Oceanic Fluid Dynamics,Vallis; Geoffrey K,2017,35,hash_dup_246,possible_duplicate,af633215a60b45fa14702e7b933b6bda93695f0d6facbbc7a0f0f409e20aaf2e,966
Geometry Euclid and Beyond (Robin Hartshorne).pdf,47.8,unclassified,unclassified,True,Geometry Euclid and Beyond (Robin Hartshorne),,,35,,,5d3faf4a3ee63721765a1acc452f4b01103d558414ef75bc7b1617c7302e0c7f,535
George M Zaslavsky - Hamiltonian Chaos and Fractional Dynamics-Oxford University Press 2005.pdf,17.8,dynamical_systems,medium,True,George M Zaslavsky - Hamiltonian Chaos and Fractional Dynamics-Oxford University Press 2005,,2005,35,hash_dup_247,possible_duplicate,fdbd85a1be29d803c9c6d5b900463d4362ea8fa2c3f5e6c0e02090786b93ebaf,436
Gerald B Folland - Introduction to partial differential equations-Princeton University Press 1995.pdf,14.3,mathematics,medium,True,Gerald B Folland - Introduction to partial differential equations-Princeton University Press 1995,,1995,35,hash_dup_248,possible_duplicate,66af7daf3a9270ab21b13cc5dddbb9be12f7e5b8212b0169fe7a527eb62b59cd,334
Global edition John C Hull - Options Futures and Other Derivatives - Solutions Manual-Pearson 2021.pdf,10.0,unclassified,unclassified,True,Global edition John C Hull - Options Futures and Other Derivatives - Solutions Manual-Pearson 2021,,2021,35,,,96ddb55d48f62653361220d47f5731846542c49cf38bbbefe2447328d362667e,256
"Glute Lab _ The Art and Science of Strength and Physique -- Bret Contreras, Glen Cordoza -- 2019, 2019 -- Simon & Schuster -- 9781628603460 -- c579da5ddce094c06b3b0619fdf28a01 -- Anna’s Archive.pdf",32.1,unclassified,unclassified,True,Glute Lab: The Art and Science of Strength and Physique Training,Bret Contreras & Glen Cordoza,2019,35,,,c616d684bc1282051113a149b092693a468025d4f08a16275874cc36eeff81da,996
Graduate Texts in Physics Oded Regev Orkan M Umurhan Philip A Yecko auth - Modern Fluid Dynamics for Physics and Astrophysics-Springer-Verlag New York 2016.pdf,9.4,mathematics,low,True,Graduate Texts in Physics Oded Regev Orkan M Umurhan Philip A Yecko auth - Modern Fluid Dynamics for Physics and Astrophysics-Springer-Verlag New York 2016,,2016,35,,,a662f5ab850a38e790e02e948605606dda75584be1fa41a92950a68997433bac,699
Grundlehren Der Mathematischen Wissenschaften Mariano Giaquinta Stefan Hildebrandt - Calculus of Variations I The Langrangian Formalism_ The Langrangian Formalism Vol 1-Springer 2006.pdf,11.6,mathematics,low,True,Grundlehren Der Mathematischen Wissenschaften Mariano Giaquinta Stefan Hildebrandt - Calculus of Variations I The Langrangian Formalism: The Langrangian Formalism Vol 1-Springer 2006,,2006,35,hash_dup_25,possible_duplicate,e726b4adc4096cfeb355d7c2c6a7570268f553c1565769ac5ef8b5006187e11b,506
Grätzer George-More Math Into LaTeX-Springer 2016.pdf,8.9,unclassified,unclassified,True,Grätzer George-More Math Into LaTeX-Springer 2016,,2016,35,,,4288dcd1eab8b08dfeaab7300af90eb28009c3fdb0b013ff1fefb70c4bea943d,621
"Gwynne A. Evans MA, DPhil, DSc, Jonathan M. Blackledge BSc, PhD, DIC, Peter D. Yardley BSc, PhD (auth.) Analytic Methods for Partial Differential Equations.pdf",10.0,mathematics,medium,True,"Gwynne A. Evans MA, DPhil, DSc, Jonathan M. Blackledge BSc, PhD, DIC, Peter D. Yardley BSc, PhD (auth.) Analytic Methods for Partial Differential Equations",4<8=8AB@0B>@,,35,,,49e203330a9c11e651a88c9a4527f705c3c1671eab44abcdea5d66024006dbac,307
GwynneAEvansMADphilDScJonathanMBlacBookZZorg.pdf,12.6,unclassified,unclassified,True,GwynneAEvansMADphilDScJonathanMBlacBookZZorg,4<8=8AB@0B>@,,35,,,e598412163e94593204be1601f3b9c943204cde4bacd918f3d3bbd87c78d4749,298
"Hao Yu, Zhong-Ping Jiang - Robust Adaptive Dynamic Programming-Wiley-IEEE Press (2017).pdf",2.5,algorithms,low,True,Ping Jiang - Robust Adaptive Dynamic Programming-Wiley,Hao Yu; Zhong,2017,35,,,3b4a75c1f57c18aee6eab31cfdfd8418885536f6bc5f35bae036cba17fa11787,175
Hass Joel_ Heil Christopher_ Thomas George Brinton_ Weir Maurice D - Thomas Calculus-Pearson 2018.pdf,29.0,mathematics,low,True,Hass Joel: Heil Christopher: Thomas George Brinton: Weir Maurice D - Thomas Calculus-Pearson 2018,,2018,35,hash_dup_250,possible_duplicate,77ef73a8b7cad7883391e089cd683944516b6dec3b89a4ba23d8fd9bd4934c2d,1212
"Ideals,  Varieties,  and Algorithms (David Cox John Little Donal O?Shea).pdf",50.5,unclassified,unclassified,True,978-1-4757-2183-6_Book_PrintPDF.pdf,asaul,,35,,,8c6aee3a84a37c3748a6d59ff0108250ab02134e6d3d2a0ab69e4d40eaabfd1d,523
Introduction to College Mathematics with A Programming Language (Edward J. LeCuyer Jr.).pdf,24.0,software_engineering,low,True,Introduction to College Mathematics with A Programming Language (Edward J. LeCuyer Jr.),,,35,,,91950365f459a61d1d9676983ae0e4d57442b8ce75b67b2689befb7d38992872,431
Introduction to Operator Theory I (Arlen Brown Carl Pearcy).pdf,70.3,analysis,low,True,978-1-4612-9928-8_Book_PrintPDF.pdf,halbulario,,35,,,b2dcfc19d9cf57b1cbd28733886760535a7c742118570aedee1a7f8a889fa439,483
"Introduction to statistical decision theory _ utility theory -- Bacci, Silvia, Chiandotto, Bruno -- Boca Raton, FL, 2020 -- CRC Press, Taylor & -- 9781032091754 -- bfa35bfcd9944adc7bab8046f319f7a3 -- Anna’s Archive.pdf",1.9,unclassified,unclassified,True,Introduction to Statistical Decision Theory,Silvia Bacci; Bruno Chiandotto,2020,35,hash_dup_259,possible_duplicate,3a939012d4e1b16cac547bc93db76977cdb456b4d885c87e64945bb1657d50fa,305
Ivo Balbaert-Getting started with Julia Programming Language-Packt Publishing - ebooks Account 2015.pdf,2.4,software_engineering,low,True,Getting Started with Julia Programming,Ivo Balbaert,2015,35,,,91f650acf9ab3205de842cd6db632626e507f74a575f7f090fce6c6da6a7488a,356
"Ivo Balbaert_ Adrian Salceanu - Julia 1.0 Programming Complete Reference Guide_ Discover Julia, a high-performance language for technical computing-Packt Publishing (2019).pdf",13.9,unclassified,unclassified,True,Julia 1.0 Programming,,2019,35,,,e81aa6a6ae65ad91e8c1b360a5027944f303e4a4a10cd3689d11581e72bd407d,455
J J Sakurai_ Jim Napolitano - Modern Quantum Mechanics-Cambridge University Press 2021.pdf,10.1,physics,low,True,J J Sakurai: Jim Napolitano - Modern Quantum Mechanics-Cambridge University Press 2021,,2021,35,hash_dup_261,possible_duplicate,1c2f08cbe6134cd2f72ebab121a382384fcaa5c5683989e153c006d57a6a2982,568
J McDonald N Weiss A Course in Real Analysis.pdf,51.6,analysis,low,True,J McDonald N Weiss A Course in Real Analysis,John,,35,,,75f8f8d72020335214f5a2a2fd31e6fbf9a272c77ffdc57b35242dd9a4baa412,764
J_Yeh_Problems_and_Proofs_in_Real_Analysis_TheoBookZZorg-2.pdf,83.1,analysis,low,True,J_Yeh_Problems_and_Proofs_in_Real_Analysis_TheoBookZZorg-2,James Yeh,,35,,,be98fedb713159508f55a4f2b8f36d5cae373f97197470d4c891b46f6943d0cf,499
"James Stewart - Student Solutions Manual, Chapters 10-17 for Stewart’s Multivariable Calculus, 8th (2015, Cengage Learning) - libgen.lc.pdf",11.3,mathematics,low,True,"James Stewart - Student Solutions Manual, Chapters 10-17 for Stewart’s Multivariable Calculus, 8th (2015, Cengage Learning) - libgen.lc",,2015,35,,,c656ab453533b3c4b3f592928ef377b12ae5817d32fd9ce1e41f42a9d7cd4230,386
Jianbo Gao Yinhe Cao Wen_wen Tung Jing Huauth - Multiscale Analysis of Complex Time Series_ Integration of Chaos and Random Fractal Theory and Beyond 2007.pdf,22.5,dynamical_systems,low,True,Jianbo Gao Yinhe Cao Wen_wen Tung Jing Huauth - Multiscale Analysis of Complex Time Series: Integration of Chaos and Random Fractal Theory and Beyond 2007,4<8=8AB@0B>@,2007,35,,,cbadccf2c602fea55123c8e6de1fb4096460fee27c8cd4d207afa125da461818,355
John David Jackson Classical Electrodynamics Third Edition.pdf,1.9,physics,low,True,John David Jackson Classical Electrodynamics Third Edition,User,,35,,,8026c2492d8203fb752a3d30af2dc7cb8c9f89cb00230b85f47176052da21656,10
John Hamal Hubbard Barbara Burke Hubbard-Vector Calculus Linear Algebra and Differential Forms_ A Unified Approach-Prentice Hall 1998.pdf,14.6,algebra,low,True,John Hamal Hubbard Barbara Burke Hubbard-Vector Calculus Linear Algebra and Differential Forms: A Unified Approach-Prentice Hall 1998,,1998,35,,,7da916f211499e066f5d0e28f2be20c5b536ace9830e3479f7bac609f2650ef6,698
John_H_Hubbard_Barbara_Burke_Hubbard_Vector_Cab-okxyz.pdf,100.5,mathematics,low,True,hubbar_vector_calculus,CamScanner,,35,,,2bdb0db01e2058972d30a7588d736f3226f4fc89f5a99bface9eac74ea1ab0db,829
John_R_Taylor_Classical_MechanicsBookZZorg.pdf,54.5,unclassified,unclassified,True,mechanical book.pdf,Administrator,,35,,,e5455e8938a1c73a0840ddcb5528371372bde22cf0c3ec3b8cf682a1a3c5b430,808
"Jorion, Philippe - Value at risk_ the new benchmark for managing financial risk-McGraw Hill Professional (2011).pdf",3.2,finance,low,True,Value at risk: the new benchmark for managing financial risk,Jorion; Philippe,2011,35,hash_dup_275,possible_duplicate,d0f38d4bde53bdbd725daa7a0997564194aa5f76b49464faaaab409e323b7c01,624
