sha256,filename,file_size_mb,domain,confidence,priority_score,title,authors,year,publisher,is_book,r2_isbns,r2_ol_title,r2_ol_found,r2_classification_domain,r2_classification_confidence,r2_classification_method,r2_chars_extracted,r2_extractable,r2_has_toc,r2_content_fingerprint,reclassified_as_book,duplicate_group,r2_dedup_is_best_copy
4b0ac4f45793e4c1d47d577a165fe498d38efb2b2e25dfef519ab6bb8ca3fd52,Gilbert Strang - Computational Science and Engineering -Wellesley-Cambridge Press 2007.pdf,10.41,rag_llm,medium,70,Gilbert Strang - Computational Science and Engineering -Wellesley-Cambridge Press 2007,,2007,,True,,,,rag_llm,medium,keyword_text,4890,True,True,7d216802671c053c,,,True
a433cef701eb233d96a14c66e9d4ad3aaa86a35d7e79e33c6b3de6bdf39878ff,"Kang Feng, Mengzhao Qin - Symplectic Geometric Algorithms for Hamiltonian Systems  -Springer (2010).pdf",4.65,topology_geometry,low,70,Symplectic Geometric Algorithms for Hamiltonian Systems,Kang Feng; Mengzhao Qin,2010,Springer,True,9787534135958; 9783642017766; 9783642017773,,,,,,2456,True,False,233f564cc783d35f,,,True
f308db33e63f50467168f37a935387e89136d0e0aa37d76b2bc4379fbe422dbf,"Ralph Abraham, Christopher D. Shaw - Dynamics_ The Geometry of Behavior-Addison-Wesley (1992).pdf",79.86,rag_llm,low,70,Dynamics: The Geometry of Behavior-Addison,Ralph Abraham; Christopher D. Shaw,1992,Wesley,True,,,,rag_llm,low,keyword_text,2848,True,True,93685a76a5b067da,,,True
1da55e44889d3c45c0e0068b8b953ba71a95a85784485b0d14f52f34bb7f9eca,Springer Series in Statistics Trevor Hastie Robert Tibshirani Jerome Friedman - The Elements of Statistical Learning_ Data Mining Inference and Prediction-Springer 2013.pdf,12.69,machine_learning,high,70,Springer Series in Statistics Trevor Hastie Robert Tibshirani Jerome Friedman - The Elements of Statistical Learning: Data Mining Inference and Prediction-Springer 2013,,2013,,True,9780387848570,,,machine_learning,high,keyword_text,5586,True,False,08327c3594dee21e,,,True
4614b37dded8415bc982123b6a7428866c9c77f281f4964eeb748f54a154eeef,Springer Undergraduate Texts in Mathematics and Technology Richard H Enns auth-Its a Nonlinear World-Springer-Verlag New York 2011.pdf,13.84,mathematics,low,70,It's a Nonlinear World,Richard H. Enns,2011,,True,9780387753386; 9780387753409,,,,,,1706,True,False,3b0c5302984485cf,,,True
11776538f32831ca931f93dac9b69016081957770735796dbb0dbf0361fff0c6,Texts in Applied Mathematics 35 J Kevorkian auth-Partial Differential Equations_ Analytical Solution Techniques-Springer New York 2000.pdf,16.7,mathematics,high,70,Texts in Applied Mathematics 35 J Kevorkian auth-Partial Differential Equations: Analytical Solution Techniques-Springer New York 2000,4<8=8AB@0B>@,2000,,True,9781441931399; 9781475732665,,,mathematics,medium,keyword_text,5822,True,False,b8984e97693b189a,,,True
a4f133d36dcc1d0f99a3526b001b982ea624bb8a61b4e408854578b9533f0062,Theoretical and Mathematical Physics Rudolph G and Schmidt M-Differential Geometry and Mathematical Physics_ Part I Manifolds Lie Groups and Hamiltonian Systems 1-Springer Netherlands 2013.pdf,10.37,topology_geometry,medium,70,Theoretical and Mathematical Physics Rudolph G and Schmidt M-Differential Geometry and Mathematical Physics: Part I Manifolds Lie Groups and Hamiltonian Systems 1-Springer Netherlands 2013,,2013,,True,9789400753440; 9789400753457,,,,,,6790,True,False,059687d308ae1f70,,,True
cf726b46d406988deffbc2769c463ad12e784297b99c051fdefc840ca98ee0e2,Undergraduate Topics in Computer Science Kent D Lee Steve Hubbard - Data Structures and Algorithms with Python-Springer 2015.pdf,12.82,algorithms,low,70,Undergraduate Topics in Computer Science Kent D Lee Steve Hubbard - Data Structures and Algorithms with Python-Springer 2015,,2015,,True,9783319130712; 9783319130729,,,,,,3546,True,False,4be8b6829c1e68c1,,,True
b9e275256904e9a3d2d4a917f23530447db4d822f35d312e629b483dbda23c79,Walter Greiner authClassical mechanics systems of particles and Hamiltonian dynamicsSpringerVerlag Berlin Heidelberg 2010.pdf,6.55,physics,high,70,Walter Greiner authClassical mechanics systems of particles and Hamiltonian dynamicsSpringerVerlag Berlin Heidelberg 2010,,2010,,True,9783642034336; 9783642034343,,,physics,high,keyword_text,2528,True,False,77257cf3886063a6,,,True
6b1a89adda9095bc9788f02af9a542dbab1980a3ac2194933de6343a6991e6c1,François Chollet - Deep Learning with Python-Manning 2018.pdf,6.02,deep_learning,medium,70,François Chollet - Deep Learning with Python-Manning 2018,,2018,,True,9781617294433; 9781617294,,,deep_learning,medium,keyword_text,3270,True,True,ac6de1314d44cef4,,,True
