filename,size_mb,domain,confidence,is_book,title,authors_str,year,priority_score,duplicate_group,flags_str,sha256,pages
martinez03.pdf,0.3,unclassified,unclassified,False,martinez03,,,15,,,1d0234701763750caf886c52330d1a6817f1e969d0959f2c8fb74dc034835492,14
mask_alone.pdf,0.1,unclassified,unclassified,False,mask_alone,,,0,,,d1c3db39d82a627d6f4bb0ef72fb0ded564ca2389bf5d3b82a62a25f569c9661,1
mathematical_surproised_QM.pdf,0.5,mathematics,low,False,mathematical_surproised_QM,,,0,,,345eb573a8a57c04f8d679e95d79740ddc1ccdf7eb79c6273b9405f2c7636fcc,56
mathworks_installation_help_zh_CN 3.pdf,0.8,unclassified,unclassified,False,MathWorks 安装帮助,The MathWorks; Inc,,10,,,683d101b64c79a9802f70bd5b815b383df58cfedb274cf28497cccfd0618fa9d,38
matthews1999.pdf,0.8,unclassified,unclassified,False,matthews1999,,,0,,,53bcc7743a0169022e25b19d842e09124ce257b3029a55346594a5e5f99a614f,4
measure_notes.pdf,0.7,unclassified,unclassified,False,measure_notes,,,0,,,b4ed9e44af7445384806d2972dd84573fdadb9bac3fda6c44a2eff67f54a5a22,93
mechanics-dividends.pdf,0.6,unclassified,unclassified,False,mechanics-dividends,Dale Hagstrom,,10,,,09bedebb06253858d6bdc703c82e2b995229c328c467a535b486edb53a0550c0,28
melnikov 1.pdf,0.1,unclassified,unclassified,False,melnikov 1,,,0,,,2a6a2c0658793278c98d4bb129495a9d71485d956b480806be5f2a7658720dc4,4
melnikov2.pdf,0.5,unclassified,unclassified,False,melnikov2,,,0,,,24aabb5e23f297660b1d06dfcc2761963919de93dfe1bf16b86ce9d42bb2d8b1,10
meta_google_leveling_analysis.pdf,0.2,unclassified,unclassified,False,meta_google_leveling_analysis,,,0,,,2cab68c6697bbf42c41a5fbc857dd89e1c91ada0a743961c2c6a1e7f22ce8916,16
meta_study_guide_combined.pdf,0.1,unclassified,unclassified,False,meta_study_guide_combined,,,0,,,a3f21aab2db612d2249e95a502b3b1826e5af665c994073502a2ffae446cd17b,22
meta_tech_screen_guide 1.pdf,0.7,interview_prep,low,False,meta_tech_screen_guide 1,Brandon Behring,,10,,,578ae9069d024aa50a5b2f252808f4daa8d56718996ef02b64116ca3df43cc2a,250
meta_tech_screen_guide 2.pdf,0.8,data_science,low,False,meta_tech_screen_guide 2,Brandon Behring,,10,hash_dup_372,possible_duplicate,8a4850f190e186b430e6cc1e14616522131fd98416197e810b218c2e05e3f2fb,240
meta_tech_screen_guide.pdf,0.8,data_science,low,False,meta_tech_screen_guide,Brandon Behring,,0,hash_dup_372,possible_duplicate,8a4850f190e186b430e6cc1e14616522131fd98416197e810b218c2e05e3f2fb,240
meta_tech_screen_guide_2.pdf,0.4,interview_prep,low,False,meta_tech_screen_guide_2,Brandon Behring,,10,,,005ae9ccc4ffa8865fe0dc103b6ec6862e1fb358359e6c0aab35a2d4471ea998,82
meta_tech_screen_guide_digital.pdf,0.8,unclassified,unclassified,False,meta_tech_screen_guide_digital,,,0,,,1331387b1a12b1662d27dd70b65f84751eeb6aadbedf011628f12c26d951666c,255
midterm 1.pdf,0.1,unclassified,unclassified,False,midterm 1,,,0,,,8df31773626b2a61357d393bf9cd16c3f0151e7d5f6b3c78e26fdc7928b1646b,3
midtermI.pdf,0.1,unclassified,unclassified,False,midtermI,,,0,,,b536aa57659c480a8651712a098ad676f90ba3141dc49805c8c8cb188b3e91f3,3
midtermSol.pdf,0.3,unclassified,unclassified,False,midtermSol,,,0,,,8a5766bf1bd9ae0da439ab1d67b1f9144fae5de8e928b42fd634c82a356c8714,8
mm6937a6.pdf,0.2,unclassified,unclassified,False,"Decreased Influenza Activity During the COVID-19 Pandemic — United States, Australia, Chile, and South Africa, 2020",Centers for Disease Control; Prevention,,10,,,2ec9587271d943050e64161f47c2061246ea78be469213afcbe266b2a621a0b5,5
modelling_mortality_risk_with_extreme_value_theory_the_case_of_swiss_res_mortality_indexed_bonds.pdf,0.1,mathematics,low,False,modelling_mortality_risk_with_extreme_value_theory_the_case_of_swiss_res_mortality_indexed_bonds,David Colarossi; Owen Beelders,,10,,,c648f5b5b71fdec256ac6d5006c3541b13eb7b149a90aab2bbcabb4ae8384e00,4
models_v1.pdf,0.2,mathematics,low,False,Introduction to Models and Modeling to Manage Risk,SOA,,5,,,7eaea821ddd01c6c173760875a647cf67a891a9a144f0d08bbf232fbe139602a,7
modest.pdf,0.1,mathematics,low,False,modest,,,0,,,aa1e41dbd4d30d5b2502a1325ee0b9964bd3112ece7c02b378895e0e7a0e242a,1
montaldi_corrected.pdf,0.5,unclassified,unclassified,False,montaldi_corrected,,,0,,,3e3732b672cf0cc92e2ecc820f6141d033b5c3015e2d1843f46a62eea08d87a2,47
more_reserving_models.pdf,0.2,mathematics,low,False,more_reserving_models,SOA,,10,,,e8402b03640ac2df7a48d1b268987c28b741fa534b288cdfdabd28ed88d17a75,4
mortgage_bill_jan.pdf,0.2,unclassified,unclassified,False,mortgage_bill_jan,Brandon Behring,,10,,,769ea68e2057f7ad5e07d7cdf7fd646921bcf95df9de876f1b66c7f4ff286d0b,2
mq.pdf,0.9,unclassified,unclassified,False,mq,,,0,,,79cfd4f0bbe05e039aa3bd6c36e32d94bfc07f34b95ca22ed676c8431c3926ea,111
ms_internet_supp.pdf,0.6,unclassified,unclassified,False,ms_internet_supp,,,0,,,5761c8afe01a274ec103dd666bd9162d9924b71809be43676dbd1a6fe1abdd4e,95
multimodal_search_rag_notebook_guide.pdf,0.3,unclassified,unclassified,False,multimodal_search_rag_notebook_guide,Brandon Behring,,10,,,0b2f8356bfc54b2a0e095426748915ab5f618f873e97c8f30c4a6e0ffe5f32ce,38
mwaffo2015.pdf,0.6,mathematics,low,False,mwaffo2015,Violet Mwaffo,,25,,,58fbdc7c6345593d7430bf1ae726de51289c252a40cd6e77ed4bfd299f4e7b84,7
my_ei_action_plan.pdf,0.1,unclassified,unclassified,False,my_ei_action_plan,Donna Roberts-Luttrell,,10,,,295d0cc48cef916754237f2394a1712c051feec9af9ba57e525dead5ab0f199c,2
myfile.pdf,0.5,unclassified,unclassified,False,myfile,,,0,,,702c82ba8f998297c845010c1dc937ed8b8a4647401b76043e0605014685d285,1
nadini2018 2.pdf,0.4,unclassified,unclassified,False,nadini2018 2,,,0,,,678af3c037c360f0389406c54581fb15343d800e715ada0d3f0f6b6329a939d0,11
nature04795.pdf,0.7,unclassified,unclassified,False,nature04795,,,0,,,d427ea8c7dad92a2ff4e741d03aec41fdef0909dc9c48073c46f6b166fe732c8,5
ncc8138.pdf,0.1,unclassified,unclassified,False,JEM.LST,,,0,,,a6cd0c44cc0191d8307e7d388ea59b6cab121f807e5f1ad0bd08edf90d6053d6,10
new_feature.pdf,0.6,unclassified,unclassified,False,new_feature,,,0,,,4d5aad1ff659bedcac03b237a316970bee76e7a25e4b554f98fb49d5683b06c4,4
njit-etd2016-094.pdf,0.7,dynamical_systems,medium,False,njit-etd2016-094,Basarab; Casayndra H,,10,,,fd7e0955c7ed6738960f7b09fc47e2e3c77ac2026741d4136cc9112f09bb2a43,80
nlp_2.pdf,0.4,unclassified,unclassified,False,nlp_2,,,0,,,acf0056e827cabc2d30a87169f32f771ade46b6031147cdc5ef9f6e00db03009,25
nlp_in_action_notebook_guide.pdf,0.5,rag_llm,medium,False,nlp_in_action_notebook_guide,Brandon Behring,,10,,,1cae56bdc582ddec50f65f5acefecdccb13b3b652e01777e48d08a8e9a8b7aec,80
nlp_in_action_notebook_guide_digital.pdf,0.6,rag_llm,medium,False,nlp_in_action_notebook_guide_digital,Brandon Behring,,10,,,fd42635ada63115e51a3f2d4092c396e9b360f9b55a8f7a94dfc12c1f146c3a9,87
nlvibe54.pdf.pdf,1.8,unclassified,unclassified,False,nlvibe54.pdf,,,0,,,ceba954717fef724671ad1a1615671def631135e23fa01a8ffbd6ec23b5427bf,160
normas_de_estilo_RIAI.pdf,0.1,unclassified,unclassified,False,normas_de_estilo_RIAI,jsanchi,,10,,,ae3fda97130bd27dbe92f3c8504037be6b8d983c3fc590789f63cd46da21eef0,4
numericalFinal.pdf,0.1,unclassified,unclassified,False,numericalFinal,,,0,,,f85d2c00b95669462ea20f4badbf2a93889ff872df9382935e086319e18298f0,2
numericalMidterm.pdf,0.1,unclassified,unclassified,False,numericalMidterm,,,0,,,c8c84ae9a64e0cf5a81b58d84c2039e68d2bef3d531bf2fe0591a206906d5143,2
numericalstudyguide.pdf,0.4,unclassified,unclassified,False,numericalstudyguide,,,0,,,7707a0fc0970ecd34fd9efbc9ef7e84ff3759f6df50d2212797c86ea0c84019b,27
numpy.pdf,0.6,unclassified,unclassified,False,Cheat sheet Numpy Python copy.indd,,,0,hash_dup_314,possible_duplicate,5f3449b9f7580c03a6b6a3a71e3d0d78940420d22bf6634224de60e602462306,1
official_scrum_guide_2020.pdf,0.2,unclassified,unclassified,False,official_scrum_guide_2020,,,0,,,ed83eb2378459c9e5da5e695844a24c3770fba33687cafaf0a0683ad5070b3ec,14
one.pdf,0.1,unclassified,unclassified,False,one,,,0,,,d7fb4791d8196813422a55d7d670345bbad045dceb0b5e7f7921aacbf7bb7041,10
online_assessments_guide_digital 1.pdf,0.3,unclassified,unclassified,False,online_assessments_guide_digital 1,,,0,,,e27fde56a10b25cc12fc068ab2d1d703654f8bfd7939a21eb9c05aeac919bcea,49
online_assessments_guide_digital 2.pdf,0.4,unclassified,unclassified,False,online_assessments_guide_digital 2,,,0,,,aa139d72b8763c69125ebf85f22dbb48954eb67c2f2af7f67404ffe066c9aa81,65
online_assessments_guide_digital.pdf,0.2,unclassified,unclassified,False,online_assessments_guide_digital,,,0,,,8306c71ba9c3d7df619614cb54cff54675011d6eca42f87a8bf66febc0829544,31
online_assessments_guide_digital_2.pdf,0.4,unclassified,unclassified,False,online_assessments_guide_digital_2,,,0,,,ab7d693f6df3b0bdab81a74a74607b60da04fa5c2a401695dedda45fc4a35626,61
openai_function_calling_docs_guide.pdf,0.3,unclassified,unclassified,False,openai_function_calling_docs_guide,Brandon Behring,,10,,,93056155ca96ff115c704cff82e68513c57840bf21ed4dd2c353f4df2eba23ae,75
openai_function_calling_docs_guide_digital.pdf,0.3,unclassified,unclassified,False,openai_function_calling_docs_guide_digital,Brandon Behring,,10,,,1cffc7bdb04895fa25a779a65cd27925fc8cfe4969996aab16d9074399500cb4,73
overview-nges.pdf,0.4,unclassified,unclassified,False,overview-nges,David Cook; Kristen Koon; Zohair Motiwalla; Karen Rudolph,,10,,,dc0ffed493365b83444eca4c642f5db7ccf2a58b664f474f66b0a52b7311be75,22
overview_of_funding_models.pdf,0.2,mathematics,low,False,overview_of_funding_models,SOA,,10,,,dd53b21438f9dfa5a81b78ce30f47a6f3aa0d8aed8567fd315379e85ce6fd7dd,2
overview_reserving_models.pdf,0.3,mathematics,low,False,overview_reserving_models,jryan,,10,,,6c42b3a9a87eca263475042921b8b46420a1627490d6cb115732514c6423a0b6,5
p03d.pdf,0.2,unclassified,unclassified,False,p03d,,,0,,,039c33e335a74d810d480275960bb5e40c8a6aa5f71744324815e6ad2de95fc6,16
paper55.pdf,0.4,dynamical_systems,high,False,Periodic orbit analysis of molecular vibrational spectra: 1:1 resonant coupled modes,Daniel C. Rouben; Gregory S. Ezra,,10,,,04e398a6ad8a7530ee029b97776eebdec83c2eee9890113005096ffc7eff3cec,9
paper88.pdf,0.7,unclassified,unclassified,False,paper88,,,0,,,4a7fc4ba24f0b4c6652e11b2084276d1c00df26e4721af3370edd995b7c34ad6,20
